metric	mean_repa	mean_sit	mean_delta	mean_abs_delta	mean_oriented_gain	win_rate	best_gain	worst_gain	num_points
lgr	0.6845909981250001	0.5745753372321429	0.11001566089285715	0.18235154047619048	0.11001566089285715	0.6547619047619048	3.54729766	-0.74475224	336
objectness_iou	0.6008768371726191	0.5369601099107142	0.06391672726190477	0.10104949232142857	0.06391672726190477	0.7202380952380952	0.37396486	-0.20467518	336
boundary_f1	0.5038468155654762	0.46600983383928574	0.03783698172619047	0.045931588928571424	0.03783698172619047	0.7619047619047619	0.20440328999999996	-0.15851826999999996	336
patch_miou	0.4672505999702381	0.443394638452381	0.023855961517857144	0.03694150729166667	0.023855961517857144	0.7470238095238095	0.17716225000000002	-0.09492256999999998	336
rmsc	0.28110837	0.27438690663690474	0.006721463363095239	0.08212118538690476	0.006721463363095239	0.6160714285714286	0.48525124999999997	-0.47497427000000003	336
msdr	0.2574268383630952	0.25087432217261907	0.006552516190476191	0.016624753035714285	0.006552516190476191	0.5178571428571429	0.18188103	-0.038571929999999977	336
lds	0.02165726074404762	0.018016336726190477	0.0036409240178571422	0.014503388958333334	0.0036409240178571422	0.6458333333333334	0.10425308999999999	-0.06065574000000001	336
hf_ratio	0.004702392797619048	0.0020904091071428568	0.0026119836904761906	0.003933418869047619	0.0026119836904761906	0.6279761904761905	0.060000769999999995	-0.006080899999999999	336
cds	0.0009760522916666666	0.0012617728869047619	-0.00028572059523809525	0.0011556162499999998	-0.00028572059523809525	0.5625	0.00567882	-0.00509372	336
ubc	0.3855888626190476	0.3951250208035714	-0.009536158184523809	0.02118887883928571	-0.009536158184523809	0.38095238095238093	0.046184420000000004	-0.07282654	336
graph_gap	0.037247334285714286	0.05773428407738096	-0.020486949791666664	0.045478308363095236	-0.020486949791666664	0.44047619047619047	0.09896630000000001	-0.0963128	336
