metric	layer	timestep	value	extra
mad	0	0.5	9.975642528533935	
mad	1	0.5	7.4462495708465575	
mad	2	0.5	6.522558794021607	
mad	3	0.5	8.252820377349854	
mad	4	0.5	7.2558388423919675	
mad	5	0.5	6.2858097362518315	
mad	6	0.5	7.021285924911499	
mad	7	0.5	9.187821216583252	
mad	8	0.5	9.053063354492188	
mad	9	0.5	9.597234001159668	
mad	10	0.5	8.742202281951904	
mad	11	0.5	7.027029762268066	
mad	12	0.5	8.341308498382569	
mad	13	0.5	8.523563995361329	
mad	14	0.5	5.356981048583984	
mad	15	0.5	6.426192169189453	
mad	16	0.5	5.037679872512817	
mad	17	0.5	3.9818671321868897	
mad	18	0.5	5.698331756591797	
mad	19	0.5	6.537505435943603	
mad	20	0.5	6.387211065292359	
mad	21	0.5	6.394030799865723	
mad	22	0.5	4.81159462928772	
mad	23	0.5	4.834243354797364	
mad	24	0.5	6.035823459625244	
mad	25	0.5	6.646187591552734	
mad	26	0.5	4.818109884262085	
mad	27	0.5	6.261688890457154	
entropy	0	0.5	5.130824251174927	
entropy	1	0.5	4.139567260742187	
entropy	2	0.5	3.5369205331802367	
entropy	3	0.5	4.705792856216431	
entropy	4	0.5	4.00224687576294	
entropy	5	0.5	3.780420413017273	
entropy	6	0.5	4.132410726547241	
entropy	7	0.5	4.500688810348511	
entropy	8	0.5	4.524459524154663	
entropy	9	0.5	4.701234674453736	
entropy	10	0.5	4.546353435516358	
entropy	11	0.5	4.047944869995117	
entropy	12	0.5	4.65833459854126	
entropy	13	0.5	4.710792570114136	
entropy	14	0.5	3.3952035236358644	
entropy	15	0.5	4.141900939941406	
entropy	16	0.5	2.7208024978637697	
entropy	17	0.5	2.142895817756653	
entropy	18	0.5	3.273170189857483	
entropy	19	0.5	3.9487937593460085	
entropy	20	0.5	4.016076102256775	
entropy	21	0.5	3.915580906867981	
entropy	22	0.5	3.0361861848831175	
entropy	23	0.5	2.995997347831726	
entropy	24	0.5	3.9882659101486206	
entropy	25	0.5	4.101599960327149	
