backend	ckpt	metric	layer	noise_level	model_t	value	num_images	path_type	noise_protocol
repa	/workspace/REPA/pretrained_models/last.pt	lds	0	1.00000000	1.00000000	0.01153505	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	1	1.00000000	1.00000000	0.01898788	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	2	1.00000000	1.00000000	0.01876688	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	3	1.00000000	1.00000000	0.01712184	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	4	1.00000000	1.00000000	0.01784115	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	5	1.00000000	1.00000000	0.01860783	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	6	1.00000000	1.00000000	0.04273914	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	7	1.00000000	1.00000000	0.11148869	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	8	1.00000000	1.00000000	0.01649807	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	9	1.00000000	1.00000000	0.01147211	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	10	1.00000000	1.00000000	0.01414547	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	11	1.00000000	1.00000000	0.01636466	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	12	1.00000000	1.00000000	0.01473157	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	13	1.00000000	1.00000000	0.01154949	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	14	1.00000000	1.00000000	0.01816813	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	15	1.00000000	1.00000000	0.00892463	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	16	1.00000000	1.00000000	0.01146069	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	17	1.00000000	1.00000000	0.01190276	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	18	1.00000000	1.00000000	0.01140572	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	19	1.00000000	1.00000000	0.01875756	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	20	1.00000000	1.00000000	0.02243194	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	21	1.00000000	1.00000000	0.01571109	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	22	1.00000000	1.00000000	0.01483087	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	23	1.00000000	1.00000000	0.01734080	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	24	1.00000000	1.00000000	0.01555814	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	25	1.00000000	1.00000000	0.00885852	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	26	1.00000000	1.00000000	0.01300337	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	lds	27	1.00000000	1.00000000	0.00750128	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	0	1.00000000	1.00000000	0.00088827	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	1	1.00000000	1.00000000	0.00142377	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	2	1.00000000	1.00000000	0.00144355	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	3	1.00000000	1.00000000	0.00124482	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	4	1.00000000	1.00000000	0.00120315	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	5	1.00000000	1.00000000	0.00104183	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	6	1.00000000	1.00000000	0.00025431	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	7	1.00000000	1.00000000	0.00661284	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	8	1.00000000	1.00000000	0.00107114	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	9	1.00000000	1.00000000	0.00061004	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	10	1.00000000	1.00000000	0.00058875	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	11	1.00000000	1.00000000	0.00051955	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	12	1.00000000	1.00000000	0.00041657	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	13	1.00000000	1.00000000	0.00027695	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	14	1.00000000	1.00000000	0.00065900	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	15	1.00000000	1.00000000	0.00038519	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	16	1.00000000	1.00000000	0.00059306	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	17	1.00000000	1.00000000	0.00059688	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	18	1.00000000	1.00000000	0.00050243	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	19	1.00000000	1.00000000	0.00113704	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	20	1.00000000	1.00000000	0.00126082	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	21	1.00000000	1.00000000	0.00101068	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	22	1.00000000	1.00000000	0.00111465	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	23	1.00000000	1.00000000	0.00144026	1000	linear	fixed_per_image
repa	/workspace/REPA/pretrained_models/last.pt	cds	24	1.00000000	1.00000000	0.00138965	1000	linear	fixed_per_image
