metric	layer	timestep	value	extra
mad	0	0.5	9.65220827102661	
mad	1	0.5	10.229708766937256	
mad	2	0.5	10.773950386047364	
mad	3	0.5	10.524409427642823	
mad	4	0.5	10.176587505340576	
mad	5	0.5	10.812484874725342	
mad	6	0.5	8.453568286895752	
mad	7	0.5	9.92914867401123	
mad	8	0.5	9.04160436630249	
mad	9	0.5	9.885096664428712	
mad	10	0.5	9.427572135925294	
mad	11	0.5	8.022203016281129	
mad	12	0.5	10.009191913604736	
mad	13	0.5	5.864495315551758	
mad	14	0.5	6.348821239471436	
mad	15	0.5	7.339847841262817	
mad	16	0.5	5.3109766864776615	
mad	17	0.5	5.288585472106933	
mad	18	0.5	7.349600973129273	
mad	19	0.5	7.126511945724488	
mad	20	0.5	6.1127965545654295	
mad	21	0.5	5.4540320491790775	
mad	22	0.5	4.868942842483521	
mad	23	0.5	6.077237224578858	
mad	24	0.5	5.191764221191407	
mad	25	0.5	5.251881856918335	
mad	26	0.5	4.694191026687622	
mad	27	0.5	6.1752244663238525	
entropy	0	0.5	5.12868405342102	
entropy	1	0.5	4.88885766029358	
entropy	2	0.5	4.695897607803345	
entropy	3	0.5	4.574377746582031	
entropy	4	0.5	3.8060018539428713	
entropy	5	0.5	4.277506237030029	
entropy	6	0.5	4.296795663833619	
entropy	7	0.5	5.1002832126617434	
entropy	8	0.5	4.449804964065552	
entropy	9	0.5	4.549291677474976	
entropy	10	0.5	4.661723852157593	
entropy	11	0.5	4.053029708862304	
entropy	12	0.5	4.624314937591553	
entropy	13	0.5	2.813072280883789	
entropy	14	0.5	3.845920467376709	
entropy	15	0.5	4.459021759033203	
entropy	16	0.5	2.5895399951934817	
entropy	17	0.5	2.9223202228546143	
entropy	18	0.5	4.018693084716797	
entropy	19	0.5	4.247334594726563	
entropy	20	0.5	3.8456431150436403	
entropy	21	0.5	3.380898299217224	
entropy	22	0.5	3.353490266799927	
entropy	23	0.5	3.9998119115829467	
entropy	24	0.5	3.24120222568512	
entropy	25	0.5	3.4721340990066527	
entropy	26	0.5	3.1040860271453856	
entropy	27	0.5	3.6429702329635623	
decay_slope	0	0.5	-0.0009722068852715893	
decay_slope	1	0.5	-0.003364610872231424	
decay_slope	2	0.5	-0.0033022301318123936	
decay_slope	3	0.5	-0.00385438880417496	
decay_slope	4	0.5	-0.003818761855363846	
decay_slope	5	0.5	-0.003870053035207093	
decay_slope	6	0.5	-0.003407261517131701	
decay_slope	7	0.5	-0.0033018998918123545	
decay_slope	8	0.5	-0.0032172142644412817	
decay_slope	9	0.5	-0.0012173061718931421	
decay_slope	10	0.5	-0.001093296438921243	
decay_slope	11	0.5	-0.0009758128150133416	
decay_slope	12	0.5	-0.0010115637467242777	
decay_slope	13	0.5	-0.000659446245408617	
decay_slope	14	0.5	-0.0004891573335044086	
decay_slope	15	0.5	-0.00041267950291512534	
decay_slope	16	0.5	-0.00043026219689636493	
decay_slope	17	0.5	-0.0003092962502705632	
decay_slope	18	0.5	-0.0002559333448698453	
decay_slope	19	0.5	-0.00019954788167524386	
decay_slope	20	0.5	-0.00042883839691057804	
decay_slope	21	0.5	-0.00048663807014236225	
decay_slope	22	0.5	-0.0011066878482233733	
decay_slope	23	0.5	-0.0010760281700640916	
decay_slope	24	0.5	-0.0012066716316621751	
decay_slope	25	0.5	-0.001067173607298173	
decay_slope	26	0.5	-0.001223019399913028	
decay_slope	27	0.5	-0.001618343735462986	
hf_ratio	0	0.5	0.0010754803998861463	
