backend	ckpt	metric	layer	noise_level	model_t	value	num_images	path_type	noise_protocol
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	0	1.00000000	0.00000000	0.00126921	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	1	1.00000000	0.00000000	0.04843525	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	2	1.00000000	0.00000000	0.04636464	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	3	1.00000000	0.00000000	0.05121905	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	4	1.00000000	0.00000000	0.04498610	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	5	1.00000000	0.00000000	0.03141292	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	6	1.00000000	0.00000000	0.03145878	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	7	1.00000000	0.00000000	0.03054675	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	8	1.00000000	0.00000000	0.03229306	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	9	1.00000000	0.00000000	0.01378906	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	10	1.00000000	0.00000000	0.01431520	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	11	1.00000000	0.00000000	0.01344853	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	12	1.00000000	0.00000000	0.01279201	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	13	1.00000000	0.00000000	0.01223904	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	14	1.00000000	0.00000000	0.01100732	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	15	1.00000000	0.00000000	0.00863703	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	16	1.00000000	0.00000000	0.00816672	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	17	1.00000000	0.00000000	0.00786906	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	18	1.00000000	0.00000000	0.00859363	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	19	1.00000000	0.00000000	0.01234539	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	20	1.00000000	0.00000000	0.01485064	1000	linear	fixed_per_image
sit	/workspace/SiT/pretrained_models/SiT-XL-2-256x256.pt	lds	21	1.00000000	0.00000000	0.01419426	1000	linear	fixed_per_image
